ticker,price,prev_close,daily_chg_pct,ytd_pct,52w_high,52w_low,52w_high_pct,52w_low_pct,date
GERN,1.44,1.535,-6.1889,,,,,,2026-03-27
VRTX,433.88,453.815,-4.3928,,,,,,2026-03-27
ELVN,39.18,39.285,-0.2673,,,,,,2026-03-27
RARE,19.43,20.0,-2.85,,,,,,2026-03-27
APGE,79.74,78.5,1.5796,,,,,,2026-03-27
LLY,880.44,897.34,-1.8833,,,,,,2026-03-27
REGN,740.86,756.105,-2.0163,,,,,,2026-03-27
TEVA,28.76,29.775,-3.4089,,,,,,2026-03-27
LAB,0.8977,0.958,-6.2944,,,,,,2026-03-27
TNXP,12.905,13.76,-6.2137,,,,,,2026-03-27
LYEL,19.47,20.12,-3.2306,,,,,,2026-03-27
INDV,29.035,29.94,-3.0227,,,,,,2026-03-27
AMGN,349.21,353.2,-1.1297,,391.14,261.505,-10.7199,33.5386,2026-03-27
RXRX,2.94,3.14,-6.3694,,,,,,2026-03-27
AMPH,19.03,19.5,-2.4103,,,,,,2026-03-27
CRNX,33.885,36.32,-6.7043,,,,,,2026-03-27
VIR,8.48,8.96,-5.3571,,,,,,2026-03-27
ARQT,21.25,22.365,-4.9855,,,,,,2026-03-27
CRDF,1.56,1.675,-6.8657,,,,,,2026-03-27
LXRX,1.625,1.62,0.3086,,,,,,2026-03-27
ANNX,5.055,5.255,-3.8059,,,,,,2026-03-27
BCRX,9.365,9.55,-1.9372,,,,,,2026-03-27
RGEN,110.4,114.42,-3.5134,,,,,,2026-03-27
NTRA,182.54,196.0,-6.8673,,,,,,2026-03-27
LFCR,3.66,3.875,-5.5484,,,,,,2026-03-27
IRD,4.38,4.54,-3.5242,,,,,,2026-03-27
CORT,37.84,38.55,-1.8418,,,,,,2026-03-27
JNJ,239.76,239.33,0.1797,,,,,,2026-03-27
KYMR,79.46,80.23,-0.9597,,,,,,2026-03-27
CRVS,14.24,14.09,1.0646,,,,,,2026-03-27
VERA,38.95,40.275,-3.2899,,,,,,2026-03-27
